"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num County total","num County rptg","over votes","under votes"
1,"President and Vice President of the United States","Donald J. TRUMP / Michael R. PENCE","REP",1202942,62.54,3306120,1949254,120,120,"0","0"
2,"President and Vice President of the United States","Hillary Rodham CLINTON / Timothy Michael KAINE","DEM",628834,32.69,3306120,1949254,120,120,"0","0"
3,"President and Vice President of the United States","Gary JOHNSON / Bill WELD","LIB",53749,2.79,3306120,1949254,120,120,"0","0"
4,"President and Vice President of the United States","Rocky Roque DE LA FUENTE / Michael STEINBERG","AMD",1128,0.06,3306120,1949254,120,120,"0","0"
5,"President and Vice President of the United States","Jill STEIN / Ajamu BARAKA","GRN",13913,0.72,3306120,1949254,120,120,"0","0"
6,"President and Vice President of the United States","Evan McMULLIN / Nathan JOHNSON","IND",22780,1.18,3306120,1949254,120,120,"0","0"
7,"US Senator","Rand PAUL","REP",1090151,57.27,3306120,1949254,120,120,"0","0"
8,"US Senator","Jim GRAY","DEM",813222,42.73,3306120,1949254,120,120,"0","0"
9,"US Representative, 1st Congressional District","James R. COMER","REP",216957,72.64,544558,319530,35,35,"0","0"
10,"US Representative, 1st Congressional District","Samuel L. GASKINS","DEM",81710,27.36,544558,319530,35,35,"0","0"
13,"US Representative, 2nd Congressional District","S. Brett GUTHRIE","REP",251823,100.00,581105,352615,21,21,"0","0"
14,"US Representative, 3rd Congressional District","Harold BRATCHER","REP",122085,36.50,582338,355787,1,1,"0","0"
15,"US Representative, 3rd Congressional District","John A. YARMUTH","DEM",212388,63.50,582338,355787,1,1,"0","0"
16,"US Representative, 4th Congressional District","Thomas MASSIE","REP",233922,71.32,1157839,695088,20,20,"0","0"
17,"US Representative, 4th Congressional District","Calvin SIDLE","DEM",94064,28.68,1157839,695088,20,20,"0","0"
18,"US Representative, 5th Congressional District","Harold ""Hal"" ROGERS","REP",221231,100.00,561208,298731,30,30,"0","0"
19,"US Representative, 6th Congressional District","Andy BARR","REP",202094,61.09,576219,351093,19,19,"0","0"
20,"US Representative, 6th Congressional District","Nancy Jo KEMPER","DEM",128725,38.91,576219,351093,19,19,"0","0"
21,"State Senator, 1st Senatorial District","Stan HUMPHRIES","REP",36264,100.00,82088,48478,6,6,"0","0"
22,"State Senator, 3rd Senatorial District","Whitney H. WESTERFIELD","REP",28655,100.00,76426,38145,3,3,"0","0"
23,"State Senator, 5th Senatorial District","Stephen L. MEREDITH","REP",31096,63.33,87024,51211,6,6,"0","0"
24,"State Senator, 5th Senatorial District","Leslie J. STITH","DEM",18006,36.67,87024,51211,6,6,"0","0"
25,"State Senator, 7th Senatorial District","Julian M. CARROLL","DEM",39851,100.00,89444,58126,5,5,"0","0"
26,"State Senator, 9th Senatorial District","David P. GIVENS","REP",37791,100.00,83847,49717,6,6,"0","0"
27,"State Senator, 11th Senatorial District","John SCHICKEL","REP",47552,100.00,98668,58250,1,1,"0","0"
28,"State Senator, 13th Senatorial District","Reggie THOMAS","DEM",33373,100.00,224659,139131,1,1,"0","0"
29,"State Senator, 15th Senatorial District","Rick GIRDLER","REP",39614,100.00,86868,50926,3,3,"0","0"
30,"State Senator, 17th Senatorial District","Damon THAYER","REP",36655,67.93,184779,107377,3,3,"0","0"
31,"State Senator, 17th Senatorial District","Charlie HOFFMAN","DEM",17302,32.07,184779,107377,3,3,"0","0"
32,"State Senator, 19th Senatorial District","Larry WEST","REP",24214,38.29,582338,355787,1,1,"0","0"
33,"State Senator, 19th Senatorial District","Morgan McGARVEY","DEM",39026,61.71,582338,355787,1,1,"0","0"
34,"State Senator, 21st Senatorial District","Albert ROBINSON","REP",33770,75.12,91186,49033,6,6,"0","0"
35,"State Senator, 21st Senatorial District","Janice ODOM","DEM",11185,24.88,91186,49033,6,6,"0","0"
36,"State Senator, 23rd Senatorial District","Chris McDANIEL","REP",37409,100.00,128324,73120,1,1,"0","0"
37,"State Senator, 25th Senatorial District","Robert STIVERS","REP",30577,100.00,80052,39474,6,6,"0","0"
38,"State Senator, 27th Senatorial District","Stephen WEST","REP",30548,67.53,84125,48916,8,8,"0","0"
