"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num County total","num County rptg","over votes","under votes"
1,"President and Vice President of the United States","Mitt ROMNEY / Paul RYAN","REP",1087150,60.51,3037153,1815843,120,120,0,0
2,"President and Vice President of the United States","Barack OBAMA / Joe BIDEN","DEM",679364,37.81,3037153,1815843,120,120,0,0
3,"President and Vice President of the United States","Jill STEIN / Cheri HONKALA","GRN",6337,0.35,3037153,1815843,120,120,0,0
4,"President and Vice President of the United States","Randall A. TERRY / Missy Reilly SMITH","IND",6873,0.38,3037153,1815843,120,120,0,0
5,"President and Vice President of the United States","Gary JOHNSON / James P. GRAY","LIB",17063,0.95,3037153,1815843,120,120,0,0
6,"US Representative, 1st Congressional District","Edward WHITFIELD","REP",199952,69.63,509831,304293,35,35,0,0
7,"US Representative, 1st Congressional District","Charles Kendall HATCHETT","DEM",87196,30.37,509831,304293,35,35,0,0
8,"US Representative, 2nd Congressional District","S. Brett GUTHRIE","REP",181508,64.30,530199,317778,21,21,0,0
9,"US Representative, 2nd Congressional District","David Lynn WILLIAMS","DEM",89541,31.72,530199,317778,21,21,0,0
10,"US Representative, 2nd Congressional District","Andrew R. BEACHAM","IND",6304,2.23,530199,317778,21,21,0,0
11,"US Representative, 2nd Congressional District","Craig R. ASTOR","LIB",4914,1.74,530199,317778,21,21,0,0
12,"US Representative, 3rd Congressional District","Brooks WICKER","REP",111452,34.54,526076,329858,1,1,0,0
13,"US Representative, 3rd Congressional District","John A. YARMUTH","DEM",206385,63.96,526076,329858,1,1,0,0
14,"US Representative, 3rd Congressional District","Robert L. DeVORE JR.","",4819,1.49,526076,329858,1,1,0,0
15,"US Representative, 4th Congressional District","Thomas MASSIE","REP",186036,62.13,1047130,323416,20,20,0,0
16,"US Representative, 4th Congressional District","William R. "Bill" ADKINS","DEM",104733,34.98,1047130,323416,20,20,0,0
17,"US Representative, 4th Congressional District","David LEWIS","IND",8674,2.90,1047130,323416,20,20,0,0
18,"US Representative, 5th Congressional District","Harold "Hal" ROGERS","REP",195408,77.90,537647,281382,30,30,0,0
19,"US Representative, 5th Congressional District","Kenneth S. STEPP","DEM",55447,22.10,537647,281382,30,30,0,0
20,"US Representative, 6th Congressional District","Garland "Andy" BARR","REP",153223,50.57,516221,320378,19,19,0,0
21,"US Representative, 6th Congressional District","Ben CHANDLER","DEM",141438,46.68,516221,320378,19,19,0,0
22,"US Representative, 6th Congressional District","Randolph VANCE","IND",8340,2.75,516221,320378,19,19,0,0
23,"State Senator, 1st Senatorial District","Stan HUMPHRIES","REP",28338,59.31,79533,48900,7,7,0,0
24,"State Senator, 1st Senatorial District","Carroll HUBBARD","DEM",19445,40.69,79533,48900,7,7,0,0
25,"State Senator, 3rd Senatorial District","Whitney H. WESTERFIELD","REP",18457,50.41,68782,37426,3,3,0,0
26,"State Senator, 3rd Senatorial District","Joey PENDLETON","DEM",18160,49.59,68782,37426,3,3,0,0
27,"State Senator, 5th Senatorial District","Carroll GIBSON","REP",32028,100.00,79924,45260,6,6,0,0
28,"State Senator, 7th Senatorial District","Frank HAYNES","REP",23213,41.00,265451,174935,4,4,0,0
29,"State Senator, 7th Senatorial District","Julian M. CARROLL","DEM",33404,59.00,265451,174935,4,4,0,0
30,"State Senator, 9th Senatorial District","David P. GIVENS","REP",33874,100.00,78610,44994,6,6,0,0
31,"State Senator, 11th Senatorial District","John SCHICKEL","REP",46962,100.00,208456,123998,3,3,0,0
32,"State Senator, 13th Senatorial District","Kathy W. STEIN","DEM",30365,100.00,196339,128406,1,1,0,0
33,"State Senator, 15th Senatorial District","Chris GIRDLER","REP",36946,100.00,81125,48144,4,4,0,0
34,"State Senator, 17th Senatorial District","Damon THAYER","REP",35343,66.35,171925,102332,4,4,0,0
35,"State Senator, 17th Senatorial District","David HOLCOMB","DEM",17926,33.65,171925,102332,4,4,0,0
36,"State Senator, 19th Senatorial District","Morgan McGARVEY","DEM",39327,100.00,526076,60272,1,1,0,0
37,"State Senator, 21st Senatorial District","Albert ROBINSON","REP",20490,53.82,76640,40256,5,5,0,0
38,"State Senator, 21st Senatorial District","Amie HACKER","DEM",17583,46.18,76640,40256,5,5,0,0
39,"State Senator, 23rd Senatorial District","Chris McDANIEL","REP",23993,59.98,115201,68113,1,1,0,0
40,"State Senator, 23rd Senatorial District","James NOLL","DEM",16010,40.02,115201,68113,1,1,0,0
41,"State Senator, 25th Senatorial District","Robert STIVERS","REP",21198,63.95,70530,35479,7,7,0,0
42,"State Senator, 25th Senatorial District","Ralph HOSKINS","DEM",11949,36.05,70530,35479,7,7,0,0
43,"State Senator, 27th Senatorial District","Tony DOWNEY","REP",14350,36.49,77166,41270,5,5,0,0
44,"State Senator, 27th Senatorial District","Walter "Doc" BLEVINS","DEM",24977,63.51,77166,41270,5,5,0,0
45,"State Senator, 29th Senatorial District","Johnny Ray TURNER","DEM",24644,100.00,69268,34845,4,4,0,0
46,"State Senator, 31st Senatorial District","Ray S. JONES","DEM",25303,100.00,72214,37323,3,3,0,3587
47,"State Senator, 33rd Senatorial District","Gerald A. NEAL","DEM",33986,93.68,526076,39250,1,1,0,0
48,"State Senator, 33rd Senatorial District","Norris SHELTON","DAS",2291,6.32,526076,39250,1,1,0,0
49,"State Senator, 35th Senatorial District","Denise HARPER ANGEL","DEM",32126,100.00,526076,38765,1,1,0,0
50,"State Senator, 37th Senatorial District","Chris THIENEMAN","REP",17536,41.42,526076,43834,1,1,0,0
51,"State Senator, 37th Senatorial District","Perry B. CLARK","DEM",24806,58.58,526076,43834,1,1,0,0
52,"State Representative, 1st Representative District","Steven Jack RUDY","REP",14080,100.00,68257,42053,5,5,0,0
53,"State Representative, 2nd Representative District","Richard HEATH","REP",9681,54.80,73708,46453,2,2,0,0
54,"State Representative, 2nd Representative District","Kelly WHITAKER","DEM",7984,45.20,73708,46453,2,2,0,0
55,"State Representative, 3rd Representative District","Jason D. CROCKETT","REP",6406,40.66,49492,30781,1,1,2,2
56,"State Representative, 3rd Representative District","Gerald WATKINS","DEM",9349,59.34,49492,30781,1,1,2,2
57,"State Representative, 4th Representative District","Lynn BECHLER","REP",10114,56.92,73073,45124,4,4,0,0
58,"State Representative, 4th Representative District","Raymond W. GIANNINI","DEM",7655,43.08,73073,45124,4,4,0,0
59,"State Representative, 5th Representative District","Kenny IMES","REP",9639,55.98,36585,22010,2,2,0,0
60,"State Representative, 5th Representative District","Hal Thomas KEMP","DEM",7581,44.02,36585,22010,2,2,0,0
61,"State Representative, 6th Representative District","Will R. COURSEY","DEM",15021,100.00,79603,50515,3,3,0,0
62,"State Representative, 7th Representative District","Tim KLINE","REP",7885,49.98,109806,67175,3,3,0,0
63,"State Representative, 7th Representative District","John A. ARNOLD JR.","DEM",7890,50.02,109806,67175,3,3,0,0
64,"State Representative, 8th Representative District","Max STURDIVANT JR.","REP",5507,34.49,54544,28879,2,2,0,0
65,"State Representative, 8th Representative District","John C. TILLEY","DEM",10461,65.51,54544,28879,2,2,0,0
66,"State Representative, 9th Representative District","Myron B. DOSSETT","REP",6670,100.00,43838,22055,1,1,0,0
67,"State Representative, 10th Representative District","F.L. "Ben" WAIDE","REP",9441,60.44,32315,19896,1,1,0,0
68,"State Representative, 10th Representative District","Mike SEIBER","DEM",6179,39.56,32315,19896,1,1,0,0
69,"State Representative, 11th Representative District","Paul A. DeSPAIN","REP",5949,37.98,32111,18736,1,1,0,0
70,"State Representative, 11th Representative District","David A. WATKINS","DEM",9714,62.02,32111,18736,1,1,0,0
71,"State Representative, 12th Representative District","Jim GOOCH JR.","DEM",12394,100.00,116024,72086,4,4,0,0
72,"State Representative, 13th Representative District","Jim GLENN","DEM",7991,50.80,67708,42412,1,1,0,0
73,"State Representative, 13th Representative District","Bill BARRON","IND",7740,49.20,67708,42412,1,1,0,0
74,"State Representative, 14th Representative District","Marian TURLEY","REP",8780,42.04,84226,52156,2,2,0,0
75,"State Representative, 14th Representative District","Tommy THOMPSON","DEM",12107,57.96,84226,52156,2,2,0,0
76,"State Representative, 15th Representative District","Marshall E. PRUNTY","REP",6838,44.02,98330,54885,3,3,0,0
77,"State Representative, 15th Representative District","Brent YONTS","DEM",8696,55.98,98330,54885,3,3,0,0
78,"State Representative, 16th Representative District","Chris HIGHTOWER","REP",6861,45.73,24944,15371,2,2,0,0
79,"State Representative, 16th Representative District","Martha Jane KING","DEM",8143,54.27,24944,15371,2,2,0,0
80,"State Representative, 17th Representative District","C. B. EMBRY JR.","REP",13077,100.00,96575,54133,3,3,0,0
81,"State Representative, 18th Representative District","Dwight BUTLER","REP",13772,100.00,211563,126304,5,5,0,0
82,"State Representative, 19th Representative District","Michael Lee MEREDITH","REP",12770,100.00,31194,17202,3,3,0,0
83,"State Representative, 20th Representative District","Regina WEBB","REP",6908,39.05,71375,44103,1,1,0,0
84,"State Representative, 20th Representative District","Jody RICHARDS","DEM",10782,60.95,71375,44103,1,1,0,0
85,"State Representative, 21st Representative District","Jim DeCESARE","REP",15946,100.00,71375,44103,1,1,0,0
86,"State Representative, 22nd Representative District","Wilson STONE","DEM",13073,100.00,96956,58401,3,3,0,0
87,"State Representative, 23rd Representative District","Johnny W. BELL","DEM",12250,100.00,99780,60883,2,2,0,0
88,"State Representative, 24th Representative District","M.J. "Bill" PICKERILL","REP",5867,38.71,67719,39816,3,3,0,0
89,"State Representative, 24th Representative District","Terry MILLS","DEM",9288,61.29,67719,39816,3,3,0,0
90,"State Representative, 25th Representative District","Jimmie LEE","DEM",15172,100.00,70066,39577,1,1,0,0
91,"State Representative, 26th Representative District","Tim MOORE","REP",11179,100.00,70066,39577,1,1,0,0
92,"State Representative, 27th Representative District","Dalton JANTZEN","REP",7252,49.00,142299,82665,3,3,0,0
93,"State Representative, 27th Representative District","Jeff GREER","DEM",7548,51.00,142299,82665,3,3,0,0
94,"State Representative, 28th Representative District","Corey Allen KOELLNER","REP",7059,43.87,526076,16669,1,1,0,0
95,"State Representative, 28th Representative District","Charles W. MILLER","DEM",9031,56.13,526076,16669,1,1,0,0
96,"State Representative, 29th Representative District","Kevin D. BRATCHER","REP",21143,100.00,526076,30397,1,1,0,0
97,"State Representative, 30th Representative District","Aaron L. WILSON","REP",4429,24.92,526076,18589,1,1,0,0
98,"State Representative, 30th Representative District","Thomas J. BURCH","DEM",13345,75.08,526076,18589,1,1,0,0
99,"State Representative, 31st Representative District","Nicholas X. SIMON","REP",8759,42.43,526076,21702,1,1,0,0
100,"State Representative, 31st Representative District","Steve RIGGS","DEM",11886,57.57,526076,21702,1,1,0,0
101,"State Representative, 32nd Representative District","Julie Raque ADAMS","REP",16038,100.00,526076,23588,1,1,0,0
102,"State Representative, 33rd Representative District","Ron CRIMM","REP",18252,67.27,526076,28607,1,1,0,0
103,"State Representative, 33rd Representative District","Rick HILES","DEM",8880,32.73,526076,28607,1,1,0,0
104,"State Representative, 34th Representative District","Mary Lou MARZIAN","DEM",17360,100.00,526076,24900,1,1,0,0
105,"State Representative, 35th Representative District","Jim WAYNE","DEM",12041,100.00,526076,16879,1,1,0,0
106,"State Representative, 36th Representative District","Jonathan SHELL","REP",11933,63.26,68317,40791,2,2,0,0
107,"State Representative, 36th Representative District","Bradley Bud MONTGOMERY","DEM",6929,36.74,68317,40791,2,2,0,0
108,"State Representative, 37th Representative District","Jeffery M. DONOHUE","DEM",7864,100.00,526076,11344,1,1,0,0
109,"State Representative, 38th Representative District","Mike NEMES","REP",5444,40.82,526076,13689,1,1,0,0
110,"State Representative, 38th Representative District","Denver BUTLER","DEM",7893,59.18,526076,13689,1,1,0,0
111,"State Representative, 39th Representative District","Matt LOCKETT","REP",9877,48.01,229962,149174,2,2,0,0
112,"State Representative, 39th Representative District","Robert R. DAMRON","DEM",10696,51.99,229962,149174,2,2,0,0
113,"State Representative, 40th Representative District","Dennis HORLANDER","DEM",11039,100.00,526076,13345,1,1,0,0
114,"State Representative, 41st Representative District","Tom RINER","DEM",11717,92.53,526076,14812,1,1,0,0
115,"State Representative, 41st Representative District","Henry OWENS III.","DAS",946,7.47,526076,14812,1,1,0,0
116,"State Representative, 42nd Representative District","Reginald K. MEEKS","DEM",14412,100.00,526076,16503,1,1,0,0
117,"State Representative, 43rd Representative District","Darryl T. OWENS","DEM",12834,100.00,526076,15511,1,1,0,0
118,"State Representative, 44th Representative District","Gail POWERS","REP",5042,29.92,526076,17609,1,1,0,0
119,"State Representative, 44th Representative District","Joni JENKINS","DEM",11810,70.08,526076,17609,1,1,0,0
120,"State Representative, 45th Representative District","Stan LEE","REP",16035,66.37,196339,128406,1,1,0,0
121,"State Representative, 45th Representative District","Geoff YOUNG","GRN",2110,8.73,196339,128406,1,1,0,0
122,"State Representative, 45th Representative District","Breck WITHERS","IND",6015,24.90,196339,128406,1,1,0,0
123,"State Representative, 46th Representative District","Brian SIMPSON","REP",7462,36.22,526076,21256,1,1,0,0
124,"State Representative, 46th Representative District","Larry CLARK","DEM",13138,63.78,526076,21256,1,1,0,0
125,"State Representative, 47th Representative District","T.K. BROECKER","REP",7315,39.47,69054,44024,4,4,0,0
